name,rating,cost,cuisine,rating_count_num,city
Lakhi Egg Roll & Caterer,3.5,299.0,"Chinese,Indian",100.0,Adityapur
The White Rose,3.9,499.0,"Indian,Chinese",100.0,Adityapur
The Belgian Waffle Co.,4.5,200.0,"Beverages,Desserts",100.0,Adityapur
Saffron,4.0,400.0,"Indian,Chinese",100.0,Adityapur
Brunch Italiano (sakchi),3.7,300.0,Bakery,50.0,Adityapur
Uttar Dakshin,3.7,200.0,"Indian,Chinese",500.0,Adityapur
SAGAR RESTAURANT,4.1,299.0,"Indian,Chinese",20.0,Adityapur
Silver Spoon,4.2,200.0,Indian,100.0,Adityapur
Pappu Hotel,3.0,200.0,"Biryani,Chinese",100.0,Adityapur
Shreshtham,3.5,200.0,"Snacks,Sweets",20.0,Adityapur
Royal Max - Sakchi,3.89446135316808,399.0,"Bakery,Pizzas",0.0,Adityapur
The Biryani Boxx,3.7,200.0,"Biryani,Beverages",20.0,Adityapur
CAKE PLANET,3.89446135316808,200.0,"Bakery,Desserts",0.0,Adityapur
BIRYANI BADSHAH,4.1,350.0,"Biryani,Hyderabadi",50.0,Adityapur
Tinkoniya Hotel,3.9,150.0,"Snacks,Sweets",50.0,Adityapur
Pappu Restaurant,3.4,200.0,"Indian,Biryani",500.0,Adityapur
Jalsa Restaurant,4.3,200.0,"Bengali,Indian",100.0,Adityapur
Brother's Chaap and Dhaba,4.0,200.0,"North Indian,Snacks",20.0,Adityapur
A2B  Anirams Aahar Bhavan,3.89446135316808,300.0,"South Indian,Chinese",0.0,Adityapur
THE HUNGER OUT,3.89446135316808,200.0,"North Indian,South Indian",0.0,Adityapur
Brother's Dhaba,3.89446135316808,399.0,"North Indian,Thalis",0.0,Adityapur
Kathi Junction,3.89446135316808,200.0,"Snacks,Indian",0.0,Adityapur
COZY CORNER,3.89446135316808,200.0,"Indian,Chinese",0.0,Adityapur
Shawarma 83,3.89446135316808,199.0,"Arabian,Lebanese",0.0,Adityapur
The Dugout,3.7,499.0,"Indian,Chinese",20.0,Adityapur
J K Residency,4.1,400.0,"Indian,Continental",50.0,Adityapur
MEALS @ ONE,3.5,200.0,"Combo,Indian",100.0,Adityapur
Kebabs & Curry,3.8,300.0,"Indian,Chinese",20.0,Adityapur
NABJIBAN KULFI,4.2,299.0,"Ice Cream,Pizzas",20.0,Adityapur
Brewers cafe,3.89446135316808,200.0,Chinese,0.0,Adityapur
PARATHA EXPRESS,3.89446135316808,200.0,Indian,0.0,Adityapur
PUJA SWEETS SAKCHI,3.89446135316808,100.0,Sweets,0.0,Adityapur
Truly Publik,3.89446135316808,800.0,"Chinese,Continental",0.0,Adityapur
Unplugged Restaurant,3.89446135316808,350.0,"North Indian,Tandoor",0.0,Adityapur
HAVELI,3.89446135316808,450.0,"Chinese,South Indian",0.0,Adityapur
ZAAFFRAN RESTAURANT,3.89446135316808,100.0,"Biryani,Indian",0.0,Adityapur
